timestamp,type,price_open,price_high,price_low,price_close,poc,volume,delta,delta_normalized,body_ratio,lower_wick_ratio,entry_trigger,stop_loss,target,exit_time,exit_price,exit_reason,pnl,max_profit,max_loss,mae,mfe
2026-02-01 20:00:00,ABSORPTION_LONG,77249.31,77338.0,75700.0,76639.72,76000.0,2294.2346199999965,-211.44543999999993,0.4539180870697294,0.372155067155065,0.5736996336996344,77338.0,75700.0,80614.0,2026-02-02 00:15:00,75700.0,STOP_LOSS,-1638.0,893.2599999999948,2734.0,2734.0,893.2599999999948
2026-02-04 14:00:00,ABSORPTION_LONG,73635.63,73851.06,72824.56,73608.88,73000.0,1261.4112899999996,-110.1174499999999,0.4563514886564428,0.02605942523136873,0.7640720896249459,73851.06,72824.56,75904.06,2026-02-04 14:15:00,72824.56,STOP_LOSS,-1026.5,292.9400000000023,1963.0599999999977,1963.0599999999977,292.9400000000023
2026-02-05 09:15:00,ABSORPTION_LONG,69918.01,69940.0,69163.0,69640.86,69500.0,2624.0285100000006,-424.2586299999999,0.41915891378770903,0.3566924066923992,0.6150064350064357,69940.0,69163.0,71494.0,2026-02-05 12:00:00,69163.0,STOP_LOSS,-777.0,932.0399999999936,3478.0,3478.0,932.0399999999936
2026-02-07 03:00:00,ABSORPTION_LONG,70161.51,70310.0,69852.03,70104.44,70100.0,715.90274,-341.88274000000007,0.26122263479497054,0.12461514946392184,0.5511496386226235,70310.0,69852.03,71225.94,2026-02-07 03:30:00,69852.03,STOP_LOSS,-457.97000000000116,-10.0,3010.0,3010.0,-10.0
2026-02-07 03:30:00,ABSORPTION_LONG,70215.3,70300.0,69811.9,70063.41,70000.0,762.1000500000002,-409.4069699999999,0.23139552346147776,0.31118623232943576,0.5152837533292487,70300.0,69811.9,71276.20000000001,2026-02-07 03:45:00,69811.9,STOP_LOSS,-488.1000000000058,-228.47999999999593,3000.0,3000.0,-228.47999999999593
2026-02-10 00:30:00,ABSORPTION_LONG,69542.53,69542.55,69208.61,69378.34,69330.0,259.16145000000006,-45.06073000000001,0.4130643658599183,0.49167515122477445,0.5082649577768303,69542.55,69208.61,70210.43000000001,2026-02-10 03:15:00,69208.61,STOP_LOSS,-333.9400000000023,363.9499999999971,860.5500000000029,860.5500000000029,363.9499999999971
2026-02-11 03:45:00,ABSORPTION_LONG,66860.99,66907.13,66557.99,66820.32,66800.0,536.84925,-72.21126999999996,0.4327453004722783,0.1164862232915115,0.7513604857650289,66907.13,66557.99,67605.41,2026-02-11 07:45:00,66557.99,STOP_LOSS,-349.1399999999994,347.47000000000116,537.6399999999994,537.6399999999994,347.47000000000116
2026-02-13 12:45:00,ABSORPTION_LONG,68730.01,68800.0,68379.9,68692.12,68600.0,676.6430299999993,-55.72910999999982,0.45881941619873257,0.0901928112354175,0.7432039990478382,68800.0,68379.9,69640.20000000001,2026-02-13 17:45:00,68777.12,TIME_EXIT,-22.880000000004657,682.9700000000012,259.16999999999825,259.16999999999825,682.9700000000012
2026-02-15 13:00:00,ABSORPTION_LONG,69100.0,69100.0,68658.0,68987.81,68800.0,723.0028000000002,-340.3435600000001,0.26463192120381174,0.25382352941177,0.74617647058823,69100.0,68658.0,69984.0,2026-02-15 14:45:00,68658.0,STOP_LOSS,-442.0,-3.570000000006985,1100.0,1100.0,-3.570000000006985
2026-02-15 14:45:00,ABSORPTION_LONG,68822.54,68823.05,68203.6,68641.07,68300.0,837.3514300000002,-238.5170900000001,0.3575764718042487,0.29295342642664857,0.7062232625716414,68823.05,68203.6,70061.95,2026-02-15 16:00:00,68203.6,STOP_LOSS,-619.4499999999971,255.44000000000233,823.0500000000029,823.0500000000029,255.44000000000233
2026-02-19 19:00:00,ABSORPTION_LONG,66916.51,66933.0,66688.3,66891.98,66850.0,430.60214999999994,-176.41941000000003,0.2951480154005382,0.10024519820187629,0.8323661626481219,66933.0,66688.3,67422.4,2026-02-19 19:30:00,66688.3,STOP_LOSS,-244.6999999999971,553.6199999999953,280.6600000000035,280.6600000000035,553.6199999999953
2026-02-21 13:15:00,ABSORPTION_LONG,68356.77,68356.77,68101.78,68274.36,68190.0,241.21260999999998,-22.654750000000007,0.45303987216732566,0.32318914467234716,0.6768108553276528,68356.77,68101.78,68866.75000000001,2026-02-21 18:15:00,68345.55,TIME_EXIT,-11.220000000001164,301.7299999999959,218.77000000000407,218.77000000000407,301.7299999999959
2026-02-22 11:00:00,ABSORPTION_LONG,67652.38,67671.28,67468.24,67650.31,67550.0,174.33408,-45.25661999999999,0.37020145458438086,0.01019503546102763,0.8967198581560194,67671.28,67468.24,68077.35999999999,2026-02-22 11:30:00,67468.24,STOP_LOSS,-203.0399999999936,141.91999999999825,481.27999999999884,481.27999999999884,141.91999999999825
2026-02-26 11:45:00,ABSORPTION_LONG,67799.59,67826.62,67264.22,67698.18,67320.0,694.3464900000001,-75.63350999999997,0.4455361904393791,0.18031650071124564,0.7716216216216151,67826.62,67264.22,68951.41999999998,2026-02-26 12:00:00,67264.22,STOP_LOSS,-562.3999999999942,76.5,1326.6199999999953,1326.6199999999953,76.5
