timestamp,type,price_open,price_high,price_low,price_close,poc,volume,delta,delta_normalized,body_ratio,upper_wick_ratio,entry_trigger,stop_loss,target,exit_time,exit_price,exit_reason,pnl,max_profit,max_loss,mae,mfe
2026-02-05 00:00:00,ABSORPTION_SHORT,71454.44,71884.47,71345.95,71525.52,71690.0,1025.9496499999998,87.23734999999999,0.5425154148641285,0.13199138379261904,0.6665490603877189,71345.95,71884.47,70268.90999999999,2026-02-05 02:15:00,70268.90999999999,TARGET,1077.0400000000081,1205.949999999997,422.0500000000029,422.0500000000029,1205.949999999997
2026-02-08 03:15:00,ABSORPTION_SHORT,69344.71,69518.56,69229.54,69372.08,69380.0,507.3751799999998,222.36118000000013,0.7191289491127275,0.0946993287661579,0.5068161372915156,69229.54,69518.56,68651.49999999999,2026-02-08 04:15:00,69518.56,STOP_LOSS,-289.0200000000041,13.849999999991269,1705.4600000000064,1705.4600000000064,13.849999999991269
2026-02-08 05:30:00,ABSORPTION_SHORT,70212.07,70796.99,70077.72,70366.14,70450.0,652.9837599999998,125.04623999999998,0.595749885111085,0.21420328944623238,0.5990101074700785,70077.72,70796.99,68639.18,2026-02-08 08:15:00,70796.99,STOP_LOSS,-719.2700000000041,187.1999999999971,1422.270000000004,1422.270000000004,187.1999999999971
2026-02-08 20:00:00,ABSORPTION_SHORT,71066.09,72271.41,71038.03,71366.0,72000.0,1340.59241,125.99626999999987,0.5469927582235474,0.24316106958115288,0.7340884398968688,71038.03,72271.41,68571.26999999999,2026-02-09 01:00:00,71035.55,TIME_EXIT,2.4799999999959255,1038.0299999999988,461.97000000000116,461.97000000000116,1038.0299999999988
2026-02-10 11:15:00,ABSORPTION_SHORT,69133.82,69591.2,69133.82,69225.14,69480.0,591.0541500000002,103.53519000000001,0.5875851984110293,0.19965892693164197,0.800341073068358,69133.82,69591.2,68219.06000000003,2026-02-10 11:30:00,68219.06000000003,TARGET,914.7599999999802,1333.820000000007,859.8299999999872,859.8299999999872,1333.820000000007
2026-02-11 10:30:00,ABSORPTION_SHORT,67022.57,67674.3,66882.13,67222.51,67550.0,1250.51071,356.02061000000003,0.6423500843102395,0.25239531918652336,0.5703195021270803,66882.13,67674.3,65297.79000000001,2026-02-11 11:00:00,67674.3,STOP_LOSS,-792.1699999999983,1126.1300000000047,1952.2099999999919,1952.2099999999919,1126.1300000000047
2026-02-14 08:15:00,ABSORPTION_SHORT,70097.88,70488.0,69983.55,70194.0,70350.0,404.3577700000001,52.51533000000001,0.5649367143345237,0.19054415700266805,0.5828129646149305,69983.55,70488.0,68974.65000000001,2026-02-14 08:45:00,70488.0,STOP_LOSS,-504.4499999999971,918.9499999999971,576.4599999999919,576.4599999999919,918.9499999999971
2026-02-18 05:15:00,ABSORPTION_SHORT,68221.19,68476.22,68208.0,68287.35,68380.0,185.6963,26.150659999999995,0.5704124422480663,0.2466631869361092,0.7041607635522874,68208.0,68476.22,67671.56,2026-02-18 08:00:00,67671.56,TARGET,536.4400000000023,1131.1000000000058,92.00999999999476,92.00999999999476,1131.1000000000058
2026-02-22 22:30:00,ABSORPTION_SHORT,65050.0,65409.62,65006.11,65123.14,65230.0,773.8050299999991,78.31253000000018,0.5506022363274764,0.18125944834080704,0.709970013134747,65006.11,65409.62,64199.09,2026-02-23 03:15:00,65409.62,STOP_LOSS,-403.51000000000204,715.4000000000015,671.3899999999994,671.3899999999994,715.4000000000015
2026-02-24 13:00:00,ABSORPTION_SHORT,63973.98,64428.9,63956.62,64163.3,64300.0,692.9014699999991,85.3812900000004,0.5616114221830687,0.4008638942999919,0.5623782501905632,63956.62,64428.9,63012.060000000005,2026-02-24 14:00:00,64428.9,STOP_LOSS,-472.27999999999884,267.08000000000175,786.489999999998,786.489999999998,267.08000000000175
